Herbarium BioBlitz,SCIE 001,,,,,,
10-Sep-19,,,,,,,
Student Name,Payton Mackwood,,,,,,
Student Name,Mickey Ordog,,,,,,
12-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
13-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
,,,,,,,
Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID
A56340,,Chnoospora,minima,United States,1962 Nov 05,Roy Tsuda,C1726706-1F2D-4146-AC2B-7D941CD1AF9F
A5838,,Chnoospora,minima,Chile,1959 Oct 04,E. Yale Dawson,FD2E4FED-6FA4-104B-9C3B-6FF41C8DBA29
A6674,,Chnoospora,minima,United States,1959 Oct 28,M. Doty,FFD81441-0D07-A545-9200-B00558F61E69
A25187,,Chnoospora,minima,United States,1982 Nov 12,Valerie Halpin,879594FC-C0A7-6F41-B539-EB3F45E4A617
A68784,,Chnoospora,minima,South Africa,1962 Nov 30,George F. Papenfuss,04E05552-65E5-A044-B66D-206BDE0A33D7
A86428,,Chnoospora,minima,United States,1967 Jul 02,Robert E. DeWreede,2C141D5A-1850-354F-9B1C-9B1D647C9C10
A5389,,Chnoospora,pacifica,Mexico,1934 Mar 02-03,Wm. R. Taylor,B5E41FC2-5027-ED45-A695-C2A0E2AB176B
A24273,,Chnoospora,pacifica,Philippines,1964 Apr 29,G. T. Velasquez,18FC29CB-AEBD-9440-A4D5-5B5EEC04D7D1
A2903,,Chnoospora,pannosa,United States,1900 May 19,Josephine E. Tilden,50F3C85D-6200-EA49-A515-48FBFE24BF1E
A1621,,Chnoospora,sp.,United States,1955 Oct 22,M. R. Palmer,966666F0-E1DE-4442-BBC8-AFED239A2F84
A61673,,Chnoospora,sp.,Brazil,1980 Mar 03,Don Smith,779DDFCC-BF91-4746-94EB-572B4915ED13
A43158,,Chorda,filum,Canada,1969 Jul 19,Richard D. Hill,22BD183E-DA86-984B-9E55-9DA2D5000357
A37702,,Chorda,filum,United States,1967 Jul 20,J. R. Stein,5E165A1B-37C9-1C42-B59D-2E7358D8F93F
A211,,Chorda,filum,United States,1936 Jun 28,M. R. Armstrong,241C435E-4211-5341-A606-E6BB59678ED2
A25321,,Chorda,filum,United States,1966 Jun 22,J. R. Stein,809BA4E0-079F-7247-9926-BB2209D94070
A37770,,Chorda,filum,United States,1952 Jul 18,J. R. Stein,A9A13022-12DE-B141-ABFF-8FE8B850BEA6
A37701,,Chorda,filum,United States,1967 Jun 26,J. R. Stein,BB42807B-1712-454B-AA4A-61CC1227CE7E
A4581,,Chorda,filum,Unknown,1931 Apr,None,92A7ECB1-22F9-8C4D-88DB-F44BAF60CCA7
A51383,,Chorda,filum,Japan,1913 Sep,K. Wada,A186FCA0-49B7-6848-9C33-41E5C1BF820E
A7687,,Chorda,filum,Sweden,1914 Jun,Gunnar Sjostedt,9EB0F6A4-41C5-534D-9FBC-2C69813FD075
A23887,,Chorda,filum,Sweden,1946 Jul 18,Tore Levring,F085ECAC-CC8A-5D42-BCA5-C04FD700129E
A8138,,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,2D25F4B2-A5F8-0C42-AC0C-E887BC9F00F8
A8137,,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,7C1F27AD-88FF-C14E-A1EA-7BB362C01B18
A8142,,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,3D8DEC7B-8844-C745-BB78-0FFA56A37A45
A8140,,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,586524CA-3E93-494A-B0BA-C3F666E7F9A1
A14318,,Chorda,filum,United States,1960 Jul 09,Tom B. Widdowson,4A94C5B0-ADA4-B045-A475-266A59FE7883
A14319,,Chorda,filum,United States,1960 Jul 09,Tom B. Widdowson,9B85B287-09C2-E040-8EB1-215813361DDD
A9630,,Chorda,filum,United States,1960 Jun 26,Tom B. Widdowson,5E594685-9442-4242-9EA1-29A1A88DDD11
A9732,,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,1D65B3B2-B281-CE49-B26D-E124BA12102A
A9731,,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,28AB0CB2-6449-D349-8836-252A9D3F660F
A13695,,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,7F574959-4003-D64C-94E7-6260BAFC5BA7
A26126,,Chorda,filum,United States,1966 Jul 12,Gordon Robin South,535ED612-0E90-B34E-AE08-C414304148FA
A26127,,Chorda,filum,United States,1966 Jul 12,Gordon Robin South,5A38FD32-ADDE-6349-AF51-27FC6611A4FA
A26373,,Chorda,filum,United States,1966 Jul 13,Patrick Chamut,8CCA4D18-97A2-C841-BC78-09BEDB73BBC1
A27414,,Chorda,filum,United States,1966 Jul 23,Gordon Robin South,FC13567B-5670-9A44-91E1-B35DAF5B4534
A27413,,Chorda,filum,United States,1966 Jul 23,R. Hill,5484AF80-D666-1848-A8D2-73CF28EF818E
A52590,,Chorda,filum,Canada,1966 Jan 26,Peter R. Newroth,3E619AC6-572E-1F40-86D4-BEECAC39E098
A67285,,Chorda,filum,Japan,1982 May 19,Michael W. Hawkes,7797C876-F10D-1E4C-BC0B-C763905A51A3
A70655,,Chorda,filum,Denmark,1989 Jun 01,R. Nielsen,2B680229-8FC7-3E44-8AEC-4213BE4DB28D
A69990,,Chorda,filum,United States,1966 Jun 22,J. R. Stein,E763F676-EEFB-F246-B89B-247958E5BD63
A82741,,Chorda,filum,Japan,1991 May 30,S. Enomoto,31A8EC94-7EE2-4C47-968C-DA3236B36729
