Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID,Verified
A43158,X,Chorda,filum,Canada,1969 Jul 19,Richard D. Hill,22BD183E-DA86-984B-9E55-9DA2D5000357,11/10/2019
A37702,X,Chorda,filum,United States,1967 Jul 20,J. R. Stein,5E165A1B-37C9-1C42-B59D-2E7358D8F93F,11/10/2019
A211,X,Chorda,filum,United States,1936 Jun 28,M. R. Armstrong,241C435E-4211-5341-A606-E6BB59678ED2,11/10/2019
A25321,X,Chorda,filum,United States,1966 Jun 22,J. R. Stein,809BA4E0-079F-7247-9926-BB2209D94070,11/10/2019
A37770,X,Chorda,filum,United States,1952 Jul 18,J. R. Stein,A9A13022-12DE-B141-ABFF-8FE8B850BEA6,11/10/2019
A37701,X,Chorda,filum,United States,1967 Jun 26,J. R. Stein,BB42807B-1712-454B-AA4A-61CC1227CE7E,11/10/2019
A4581,X,Chorda,filum,Unknown,1931 Apr,None,92A7ECB1-22F9-8C4D-88DB-F44BAF60CCA7,11/10/2019
A51383,X,Chorda,filum,Japan,1913 Sep,K. Wada,A186FCA0-49B7-6848-9C33-41E5C1BF820E,11/10/2019
A7687,X,Chorda,filum,Sweden,1914 Jun,Gunnar Sjostedt,9EB0F6A4-41C5-534D-9FBC-2C69813FD075,11/10/2019
A23887,X,Chorda,filum,Sweden,1946 Jul 18,Tore Levring,F085ECAC-CC8A-5D42-BCA5-C04FD700129E,11/10/2019
A8138,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,2D25F4B2-A5F8-0C42-AC0C-E887BC9F00F8,11/10/2019
A8137,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,7C1F27AD-88FF-C14E-A1EA-7BB362C01B18,11/10/2019
A8142,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,3D8DEC7B-8844-C745-BB78-0FFA56A37A45,11/10/2019
A8140,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,586524CA-3E93-494A-B0BA-C3F666E7F9A1,11/10/2019
A14318,X,Chorda,filum,United States,1960 Jul 09,Tom B. Widdowson,4A94C5B0-ADA4-B045-A475-266A59FE7883,11/10/2019
A14319,X,Chorda,filum,United States,1960 Jul 09,Tom B. Widdowson,9B85B287-09C2-E040-8EB1-215813361DDD,11/10/2019
A9630,X,Chorda,filum,United States,1960 Jun 26,Tom B. Widdowson,5E594685-9442-4242-9EA1-29A1A88DDD11,11/10/2019
A9732,X,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,1D65B3B2-B281-CE49-B26D-E124BA12102A,11/10/2019
A9731,X,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,28AB0CB2-6449-D349-8836-252A9D3F660F,11/10/2019
A13695,X,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,7F574959-4003-D64C-94E7-6260BAFC5BA7,11/10/2019
A26126,X,Chorda,filum,United States,1966 Jul 12,Gordon Robin South,535ED612-0E90-B34E-AE08-C414304148FA,11/10/2019
A26127,X,Chorda,filum,United States,1966 Jul 12,Gordon Robin South,5A38FD32-ADDE-6349-AF51-27FC6611A4FA,11/10/2019
A26373,X,Chorda,filum,United States,1966 Jul 13,Patrick Chamut,8CCA4D18-97A2-C841-BC78-09BEDB73BBC1,11/10/2019
A27414,X,Chorda,filum,United States,1966 Jul 23,Gordon Robin South,FC13567B-5670-9A44-91E1-B35DAF5B4534,11/10/2019
