Accession Number,(X) Verified,Phylum,Class,Genus,Species,Country,Date Collected,Primary Collector,UUID,Verified
A82957,30/9/2019,Ochrophyta,Phaeophyceae,Ectocarpus,siliculosus,United States,1991 Jul 08,Sandra C. Lindstrom,FDD66F20-3992-4F48-A94B-D78BBDE6F385,03/17/2020
A83504,30/9/2019,Ochrophyta,Phaeophyceae,Ectocarpus,siliculosus,United States,1993 Jul 04,Sandra C. Lindstrom,849C4C37-09E1-1B43-8404-51F44CBB4C61,03/17/2020
A82015,30/9/2019,Ochrophyta,Phaeophyceae,Ectocarpus,siliculosus,United States,1989 Apr 09,Paul W. Gabrielson,85A2E036-35C1-C64A-96E1-C9335EFBCC82,03/17/2020
A81166,30/9/2019,Ochrophyta,Phaeophyceae,Ectocarpus,siliculosus,United States,1991 Jul 08,Sandra C. Lindstrom,C78F985E-802B-D14B-8C19-5869D01DAF48,03/17/2020
A81716,30/9/2019,Ochrophyta,Phaeophyceae,Ectocarpus,siliculosus,United States,1990 Sep 09,Sandra C. Lindstrom,CFF57482-0CB7-F64D-8853-91785E8060D6,03/17/2020
A93089,30/7/2019,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,2010 Oct 09,Kyle Demes,AEEDB6CA-3F38-C940-B0B0-FA8581E99FD9,03/17/2020
A28144,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1982 Aug 18,David J. Garbary,8C2C7E33-7E79-4D48-A8C4-3F82EEA1E883,03/17/2020
A36266,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,1982 Aug 18,David J. Garbary,C0A8CAC5-894E-A646-BB75-392B4740BD1E,03/17/2020
A70656,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Denmark,1989 Jun 28,R. Nielsen,12361EF5-9777-254D-8EBE-EF5A7EDB141D,03/17/2020
A62090,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1979 Mar 27,David J. Garbary,9C66527E-AAA4-FA47-879F-894D9412BB47,03/17/2020
A37773,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1967 Jun 13,J. R. Stein,E2777D54-6A1A-764F-A9A2-FBDB7B9C0986,03/17/2020
A37707,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1967 Jun 13,J. R. Stein,E91F582C-9220-7242-999B-F0A36E855B18,03/17/2020
A53068,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1969 Jun 03,Peter R. Newroth,B1864502-F97A-E34E-9DCC-927017052FA4,03/17/2020
A333,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1936 Jul 01,M. R. Armstrong,A0E0A53C-E242-6843-ACC6-2A598476A1AE,03/17/2020
A52612,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1969 Jun 05,Peter R. Newroth,74B58ED7-9F5E-4740-A5AC-5AE5E9A0E84B,03/17/2020
A52616,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1969 Jun 05,Peter R. Newroth,1B51FEC1-0E71-2648-9227-8DED57523ADD,03/17/2020
A26612,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,1966 Apr 04,Arthur C. Mathieson,21ED3337-B817-FE41-BD79-DC9D7C96F045,03/17/2020
A59187,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,United Kingdom,1976 Jul 21,David J. Garbary,FB79B1C0-2151-6E4F-BA08-DE8874ED394A,03/17/2020
A1772,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Canada,[unknown],John Macoun,03603DFB-FEB0-F54E-963A-896326195D11,03/17/2020
A56491,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Netherlands,1975 Jul 21,R.H.,81371629-07AC-2C4C-ACB8-28DD44D63938,03/17/2020
A88391,X,Ochrophyta,Phaeophyceae,Elachista,fucicola,Norway,2004 Jun 23,Sandra C. Lindstrom,BBD73329-F3FA-3548-8EB3-B2BA0B9D8797,03/17/2020
A92754,31/12/2019,Ochrophyta,Phaeophyceae,Elachista,fucicola,"United States
",2016 Jul 13,Sandra C. Lindstrom,4260BB22-FA0E-0147-98FE-63DCF8528D42,03/17/2020
A92566,10/7/2019,Ochrophyta,Phaeophyceae,Elachista,fucicola,United States,2016 May 21,Sandra C. Lindstrom,32747BAA-12AD-3C47-8A35-13FB5CD12DD9,03/17/2020
A84680,X,Ochrophyta,Phaeophyceae,Elachista,okamurae,Japan,2001 Apr 09,T. Kitayama,3720075B-2791-A54E-A475-22229EF216F3,03/17/2020
A69177,X,Ochrophyta,Phaeophyceae,Elachista,orbicularis,Australia,1979 Mar 20,S. Clarke,516271CB-1654-7D4A-8BD8-1B8EEF637C0C,03/17/2020
A43025,X,Ochrophyta,Phaeophyceae,Elachista,pusilla,Chile,1968 Feb 02,Patrick Chamut,13482AA4-73FE-8F44-98A5-1974959F0ECE,03/17/2020
