Accession Number,Inventory (x = verified),Genus,Species,Date Collected,UUID,Verified
A67397,x,Dictyosiphon,foeniculaceus,1980 Jul 13,60CD9429-CBDF-694C-ABAD-AD39EFA02247,03/17/2020
A14330,x,Ectocarpus,sp.,1982 Nov 12,04C132C5-B024-1042-B660-973CDE99441D,03/17/2020
A24174,x,Dictyota,sp.,1982 Feb 10,17E787E0-BBC1-AB49-9D53-2627FCA98ECA,03/17/2020
A33925,x,Dictyota,sp.,1982 Feb 10,52BC9C5D-0A3A-364F-B6A6-A30EE9C7E5F8,03/17/2020
A37271,x,Dictyosiphon,foeniculaceus,1982 Aug 24,5D254963-DCEF-7D4D-949E-F11189694B07,03/17/2020
A51662,x,Ectocarpus,sp.,1982 Aug 24,EB0B3B81-1336-C54B-8095-F9F1A9B400DE,03/17/2020
A32870,x,Dictyosiphon,foeniculaceus,1984 Jun 13,A7DA9017-6BAA-6B41-AD25-123D3F18F027,03/17/2020
A67792,x,Dictyosiphon,foeniculaceus,1984 Jun 13,B6A0E384-6809-0847-B646-FDFDEC24A2BF,03/17/2020
A67951,x,Dictyosiphon,foeniculaceus,1980 Aug 08,8CD7D040-423E-0441-9B7C-1BE1F4921F8C,03/17/2020
A69179,x,Ectocarpus,fasciculatus,1982 May 12,FDD54BB0-0DAC-B74A-9768-4460C644535D,03/17/2020
A68974,x,Dictyosiphon,foeniculaceus,1987 May 13,4260E8E4-DBD2-D348-8178-02D769720064,03/17/2020
A68973,x,Dictyosiphon,foeniculaceus,1987 May 13,BFCEF4D6-645A-7141-90B8-4FEA42050C39,03/17/2020
A70352,x,Dictyota,binghamiae,1986 Apr 11,2753DF4E-B5C2-5048-AF05-6497163CACF8,03/17/2020
A70638,x,Ectocarpus,fasciculatus,1988 Jun 29,843280C8-7D06-354D-BFFD-9FAC9CF4E1F4,03/17/2020
A70044,x,Dictyosiphon,foeniculaceus,1981 Aug 18,7F924A8F-7FC4-5849-9455-F381874848DC,03/17/2020
A298,x,Dictyosiphon,foeniculaceus,[unknown],19A36DC8-D659-1D4C-97B6-6E786EC6D470,03/17/2020
A64053,x,Dictyota,sp.,1980 Jan 14,52F2D91A-C44F-2E49-9EA6-06FC36542E8E,03/17/2020
A301,x,Dictyosiphon,hispidus,1917 Jul,AB7F6446-6F0F-2242-B96B-661E4D7481C2,03/17/2020
A60267,x,Dictyota,binghamiae,1977 May 17,365F411A-E8C7-7D4F-80E5-9FD4734C3667,03/17/2020
A39737,x,Dictyota,binghamiae,1969 May 08,4E110DFF-B9BC-5745-8D92-3DEA137FC49E,03/17/2020
A40171,x,Dictyota,binghamiae,1969 Jun 01,65D9CE0A-163A-EC4A-AEF0-F47466C3DB29,03/17/2020
A55511,x,Dictyota,binghamiae,1976 Apr 01,F14E5019-EF56-DD4D-BFF0-7F3923509331,03/17/2020
A55496,x,Dictyota,binghamiae,1976 Apr 01,4F6A1888-B2C5-094D-9129-6CFE90A87DF2,03/17/2020
