Accession Number,X = Inventoried,Genus,Species,Date Collected,UUID,Verified
A11738,X,Coilodesme,bulligera,1955 Aug 03,856E2F48-DE65-E84E-A9D1-8391A5584893,03/16/2020
A11739,X,Coilodesme,bulligera,1955 Aug 03,8F49BD7D-D249-6A46-A56B-4A3C7B1C3D42,03/16/2020
A11706,X,Coilodesme,bulligera,1955 Aug 03,3CF23239-5520-0B47-9C3A-5338A7670005,03/16/2020
A39347,X,Coilodesme,bulligera,1955 Aug 03,C2B44695-BDA2-B748-90EE-C39721648B6F,03/16/2020
A8512,X,Coilodesme,bulligera,1955 Jul 15,0B644D8D-3723-F54F-AE81-A4FDE8F98CBD,03/16/2020
A14366,X,Coilodesme,bulligera,1958 Jul 30,8B7A636B-D14A-3A4C-8222-634051E96359,03/16/2020
A2033,X,Coilodesme,bulligera,1949 Jul 07,056A3F6F-B2BE-CE42-98DC-9178BBA35C50,03/16/2020
A222,X,Coilodesme,bulligera,1949 Jun 12,E22FC9D7-F729-F648-8BB5-D9EEBA42D37B,03/16/2020
A221,X,Coilodesme,bulligera,1949 May 29,A2927099-6D32-D442-94C5-71A0FCD9D8E9,03/16/2020
A4399,X,Coilodesme,bulligera,1959 Jul 20,0F328598-DDA5-7B4D-8944-637A07833F6E,03/16/2020
A4400,X,Coilodesme,bulligera,1959 Jul 20,82EF4A8A-DF0D-0546-89C1-9BD41D8BE6CD,03/16/2020
A40029,X,Costaria,costata,1969 May 18,C7A584F8-D187-A140-8A65-BF43A860DFB7,03/16/2020
A23146,X,Costaria,costata,1965 Jul 04,954C5885-C610-2E4A-BC3E-DB878ECD25BF,03/16/2020
A63091,X,Costaria,costata,1915 Jul,0B1F60D5-7DEA-3642-89CA-C3EB049C6714,03/16/2020
A63076,X,Costaria,costata,1913 Jul,A17D015B-3515-2D4D-AA04-45770E88AB46,03/16/2020
A42383,X,Costaria,costata,1969 Aug 19,90C4B5E8-939A-3F40-A1BC-10F24EEC1B3B,03/16/2020
A42061,X,Costaria,costata,1969 Aug 15,D125C011-64F3-D24C-82AE-5A88201DD2E6,03/16/2020
A42077,X,Costaria,costata,1969 Aug 12,EACF3904-6990-C04C-887F-382BD442CD3F,03/16/2020
A42188,X,Costaria,costata,1969 Aug 10,97FBD4F6-65CC-9848-AE45-53254997ACC1,03/16/2020
A42189,X,Costaria,costata,1969 Aug 10,D848180E-3726-1F49-833E-C517CE506FF8,03/16/2020
A41333,X,Costaria,costata,1969 Jul 01,9380D0AB-D11B-B645-B2C7-4DF026176FD9,03/16/2020
A41270,X,Costaria,costata,1969 Jun 30,B5806428-201A-7440-AE04-39F0BF588BD5,03/16/2020
A41544,X,Costaria,costata,1969 Jun 29,1104FBE4-F92F-C44C-8FCD-4599D66A9F10,03/16/2020
A40739,X,Costaria,costata,1969 Jun 16,73079039-08EB-7642-A24A-DE173A8E917C,03/16/2020
A61570,X,Costaria,costata,1980 Feb 14,762CA1BB-C588-6E48-AD5A-942E7310A6E9,03/16/2020
A39351,X,Costaria,costata,1945 Jul 12,1B1512BF-B8D5-5641-91C8-ABD5C76B5E42,03/16/2020
A45752,X,Costaria,costata,1969 Apr 24,D88BBD0F-FB2A-2C43-B10C-5E30C55A9C61,03/16/2020
A45751,X,Costaria,costata,1969 Mar 27,66AB9B00-BBAD-464C-A09D-D3A150E6B8D1,03/16/2020
A45750,X,Costaria,costata,1969 Mar 27,856D2262-D307-AD43-BB01-DB9DC7F9C346,03/16/2020
A45749,X,Costaria,costata,1969 Feb 27,7B29F8CB-CFCC-F24A-A8BE-FA0146994EFA,03/16/2020
A45747,X,Costaria,costata,1969 Apr 24,AE1688C1-CF20-9549-B9A6-FF5947F38D90,03/16/2020
A45748,X,Costaria,costata,1969 Mar 27,11E29B43-EB1D-9945-A8C2-5A9982894099,03/16/2020
A45745,X,Costaria,costata,1969 Mar 06,80EC98E2-D149-1B41-8A35-F83EDB9ED866,03/16/2020
A45746,X,Costaria,costata,1969 Feb 27,54C74E4C-99A9-FF41-95E0-C43E798096D8,03/16/2020
A45743,X,Costaria,costata,1969 Feb 27,23A11E9B-1094-D04B-B346-4452A8663525,03/16/2020
A45744,X,Costaria,costata,1969 Feb 27,469EA426-2431-F647-99A1-09873B2B3CE6,03/16/2020
A239,X,Costaria,costata,1938,F6F14074-D223-5349-9A6F-BD998F7362C7,03/16/2020
A241,X,Costaria,costata,1938,00AE435E-39A3-8D46-9DC2-4D43EE4A49E6,03/16/2020
A242,X,Costaria,costata,1938,319D71F9-DEEB-274B-B7B6-244AE88DA6D1,03/16/2020
A45781,X,Costaria,costata,1969 Jun 14,FBD4BF8C-1952-7444-B0EB-70BB528BD119,03/16/2020
